"图解2"
"时间 (sec)","角位移1 (deg)"
0,114.503786992158
0.04,111.383786992163
0.08,108.263786992225
0.12,105.143786992413
0.16,102.023786992805
0.2,98.9037869934843
0.24,95.7837869945439
0.28,92.6637869960826
0.32,89.5437869982074
0.36,86.4237870010329
0.4,83.3037870046809
0.44,80.1837870092787
0.48,77.0637870149662
0.52,73.9437870218842
0.56,70.8237870301885
0.6,67.7037870400341
0.64,64.5837870515918
0.68,61.4637870650324
0.72,58.3437870805385
0.76,55.2237870982994
0.8,52.1037871185111
0.84,48.9837871413785
0.88,45.8637871671127
0.92,42.7437871959327
0.96,39.6237872280652
1,36.5037872637441
1.04,33.3837873032088
1.08,30.2637873467116
1.12,27.1437873945051
1.16,24.0237874459146
1.2,20.9037874981992
1.24,17.783787551276
1.28,14.6637876019024
1.32,11.5437876509031
1.36,8.42378769962556
1.4,5.30378774843185
1.44,2.18378779565953
1.48,-0.936212156018811
1.52,-4.05621210711196
1.56,-7.17621205971901
1.6,-10.2962120112298
1.64,-13.4162119619666
1.68,-16.5362119139108
1.72,-19.6562118647512
1.76,-22.776211814063
1.8,-25.8962117642749
1.84,-29.0162117148197
1.88,-32.1362116643991
1.92,-35.2562116145738
1.96,-38.3762115645546
2,-41.4962115151582
2.04,-44.6162114634045
2.08,-47.7362114100244
2.12,-50.8562113557752
2.16,-53.9762113013579
2.2,-57.096211249708
2.24,-60.2162112011649
2.28,-63.3362111534157
2.32,-66.4562111042608
2.36,-69.5762110559479
2.4,-72.696211007729
2.44,-75.8162109587859
2.48,-78.9362109113015
2.52,-82.0562108653121
2.56,-85.1762108184063
2.6,-88.296210770259
2.64,-91.4162107224958
2.68,-94.5362106736786
2.72,-97.6562106261127
2.76,-100.77621058105
2.8,-103.896210537354
2.84,-107.01621049206
2.88,-110.136210446209
2.92,-113.25621040033
2.96,-116.376210353654
3,-119.496210308841
3.04,-122.61621026648
3.08,-125.736210224703
3.12,-128.856210182579
3.16,-131.976210140455
3.2,-135.09621009833
3.24,-138.216210056206
3.28,-141.336210014081
3.32,-144.456209971957
3.36,-147.576209929833
3.4,-150.696209887708
3.44,-153.816209845584
3.48,-156.93620980346
3.52,-160.056209761335
3.56,-163.176209719211
3.6,-166.296209677086
3.64,-169.416209634962
3.68,-172.536209592837
3.72,-175.656209550713
3.76,-178.776209508588
3.8,178.103790533535
3.84,174.98379057566
3.88,171.863790617784
3.92,168.743790659909
3.96,165.623790702034
4,162.503790744158
4.04,159.383790786282
4.08,156.263790828407
4.12,153.143790870531
4.16,150.023790912655
4.2,146.90379095478
4.24,143.783790996904
4.28,140.663791039028
4.32,137.543791081152
4.36,134.423791123277
4.4,131.303791165401
4.44,128.183791207526
4.48,125.06379124965
4.52,121.943791291775
4.56,118.823791333914
4.6,115.703791376083
4.64,112.583791418309
4.68,109.463791460655
4.72,106.343791503215
4.76,103.223791546129
4.8,100.103791589587
4.84,96.9837916338423
4.88,93.8637916792272
4.92,90.7437917261604
4.96,87.6237917751582
5,84.5037918268484
5.04,81.3837918819853
5.08,78.2637919405679
5.12,75.1437919998477
5.16,72.0237920581451
5.2,68.9037921155344
5.24,65.7837921726111
5.28,62.6637922301422
5.32,59.5437922884153
5.36,56.4237923463048
5.4,53.3037924039117
5.44,50.1837924603869
5.48,47.0637925161236
5.52,43.9437925715691
5.56,40.8237926277396
5.6,37.7037926833608
5.64,34.5837927385176
5.68,31.4637927937962
5.72,28.3437928487943
5.76,25.2237929040497
5.8,22.1037929604529
5.84,18.9837930175435
5.88,15.8637930747512
5.92,12.7437931299591
5.96,9.62379318358034
6,6.50379323621391
6.04,3.38379328857919
6.08,0.263793341869444
6.12,-2.85620660427426
6.16,-5.9762065503906
6.2,-9.09620649605752
6.24,-12.2162064413572
6.28,-15.3362063859785
6.32,-18.4562063303373
6.36,-21.5762062753119
6.4,-24.6962062195589
6.44,-27.8162061638356
6.48,-30.9362061089392
6.52,-34.0562060541559
6.56,-37.1762059995335
6.6,-40.2962059441996
6.64000000000001,-43.4162058883047
6.68000000000001,-46.5362058316458
6.72000000000001,-49.6562057755009
6.76000000000001,-52.7762057202929
6.80000000000001,-55.8962056657174
6.84000000000001,-59.0162056101608
6.88000000000001,-62.1362055528879
6.92000000000001,-65.2562054951604
6.96000000000001,-68.3762054361319
7.00000000000001,-71.4962053771708
7.04000000000001,-74.6162053187182
7.08000000000001,-77.7362052604704
7.12000000000001,-80.8562052010648
7.16000000000001,-83.9762051404111
7.20000000000001,-87.0962050789081
7.24000000000001,-90.2162050172574
7.28000000000001,-93.3362049563658
7.32000000000001,-96.4562048956314
7.36000000000001,-99.5762048343215
7.40000000000001,-102.696204773875
7.44000000000001,-105.816204713559
7.48000000000001,-108.936204651647
7.52000000000001,-112.056204590375
7.56000000000001,-115.17620452943
7.60000000000001,-118.296204466954
7.64000000000001,-121.416204404224
7.68000000000001,-124.536204341715
7.72000000000001,-127.656204278641
7.76000000000001,-130.776204215508
7.80000000000001,-133.896204151528
