"图解4"
"时间 (sec)","线性位移3 (mm)"
0,601.809306936047
0.04,609.570313538888
0.08,615.584526123475
0.12,618.733594639708
0.16,620.276410431817
0.2,621.07558174543
0.24,621.507384214774
0.28,621.738086615394
0.32,621.84827333246
0.36,621.880713031091
0.4,621.859891790437
0.44,621.800713665773
0.48,621.712708729748
0.52,621.60221814914
0.56,621.473599169132
0.6,621.329924350716
0.64,621.173405340544
0.68,621.005659464736
0.72,620.827882963982
0.76,620.640966801505
0.8,620.445576046321
0.84,620.242205520907
0.88,620.031219608059
0.92,619.812881259478
0.96,619.58737350434
1,619.354815661522
1.04,619.115275757527
1.08,618.868780192006
1.12,618.615321386252
1.16,618.354863941614
1.2,618.087349691002
1.24,617.812701926493
1.28,617.53082901381
1.32,617.241627554018
1.36,616.944985214436
1.4,616.640783323615
1.44,616.328899304132
1.48,616.009209001096
1.52,615.681588952038
1.56,615.345918633936
1.6,615.002082715184
1.64,614.649973333678
1.68,614.289492416384
1.72,613.920554050638
1.76,613.543086912937
1.8,613.157036756524
1.84,612.762368954877
1.88,612.359071094677
1.92,611.947155607587
1.96,611.526662426972
2,611.097661651959
2.04,610.660256198048
2.08,610.214584410668
2.12,609.76082261503
2.16,609.299187573507
2.2,608.829938819792
2.24,608.353380837614
2.28,607.869865050522
2.32,607.379791589395
2.36,606.883610803778
2.4,606.381824484338
2.44,605.874986764883
2.48,605.363704673788
2.52,604.84863830766
2.56,604.330500602112
2.6,603.810056678111
2.64,603.288122745398
2.68,602.76556454837
2.72,602.2432953432
2.76,601.722273399047
2.8,601.203499019481
2.84,600.688011084039
2.88,600.176883112631
2.92,599.671218858675
2.96,599.172147438942
3,598.680818009912
3.04,598.198394001646
3.08,597.726046920448
3.12,597.264949730975
3.16,596.816269827276
3.2,596.381161598988
3.24,595.960758595392
3.28,595.556165283885
3.32,595.168448392023
3.36,594.798627812763
3.4,594.447667038894
3.44,594.116463077691
3.48,593.805835776393
3.52,593.516516463436
3.56,593.249135779869
3.6,593.00421053612
3.64,592.782129381544
3.68,592.583137015888
3.72,592.407316600844
3.76,592.254569946552
3.8,592.124594953018
3.84,592.016859685435
3.88,591.930572372384
3.92,591.864646572422
3.96,591.817660836216
4,591.787812564574
4.04,591.772866769088
4.07,591.76982021312
4.08,591.77010280131
4.12,591.776267337676
4.16,591.787553234957
4.17,591.790678691833
4.2,591.799648415647
4.24,591.807952716987
4.28,591.808180811221
4.30888178022872,591.801769349353
4.32,591.797844977495
4.36,591.779763024497
4.4,591.770321684459
4.4313609973555,591.79900672058
4.44,591.819150121299
4.48,592.056350822395
4.48502712620161,592.112238077579
4.52,592.802710477305
4.56,594.784650808744
4.6,599.24432009065
4.64,606.574074664071
4.68,613.651762311861
4.72,617.782968113112
4.76,619.803526138953
4.784,620.493498768892
4.8,620.825529874703
4.84,621.371505814188
4.88,621.666872745519
4.92,621.816893504517
4.96,621.8756027175
5,621.87310315963
5.04,621.827319141522
5.08,621.749510752707
5.12,621.647063819012
5.16,621.524995048713
5.2,621.386809337749
5.24,621.23501113414
5.28,621.071421754931
5.32,620.897383135354
5.36,620.713892615498
5.4,620.52169447798
5.44,620.321343583434
5.48,620.113250548341
5.52,619.897714439216
5.56,619.674946855924
5.6,619.445089971454
5.64,619.208230264868
5.68,618.964409144269
5.72,618.713631299087
5.76,618.455871379504
5.8,618.191079435542
5.84,617.919185433123
5.88,617.640103083003
5.92,617.353733160369
5.96,617.059966450434
6,616.758686424407
6.04,616.44977172703
6.08,616.133098539169
6.12,615.808542865565
6.13,615.726157943693
6.16,615.475982786943
6.18053641598753,615.302094760168
6.2,615.13530070723
6.24,614.78638561947
6.28,614.429135407959
6.32,614.063459198757
6.36,613.689279765965
6.4,613.306535996779
6.44,612.915185414084
6.48,612.515206751412
6.52,612.106602571271
6.56,611.689401914159
6.6,611.263662962069
6.64000000000001,610.829475696948
6.68000000000001,610.386964531486
6.72000000000001,609.936290886745
6.76000000000001,609.477655688677
6.80000000000001,609.011301753432
6.84000000000001,608.537516029714
6.88000000000001,608.056631665243
6.92000000000001,607.569029863726
6.96000000000001,607.075141498666
7.00000000000001,606.575448450776
7.04000000000001,606.070484636833
7.08000000000001,605.560836699379
7.12000000000001,605.04714432877
