"图解1"
"时间 (sec)","加速度1 (mm/sec**2)"
0,-1573.00248999081
0.04,-1828.9963250152
0.08,-893.872785984937
0.12,-412.201191198651
0.16,-207.831934269035
0.2,-115.899963541103
0.24,-70.4735592288393
0.28,-45.9758490616465
0.32,-31.7736539056793
0.36,-23.0445793626658
0.4,-17.420304457069
0.44,-13.6554751586376
0.48,-11.0562025243072
0.52,-9.21639264445546
0.56,-7.88818613619016
0.6,-6.91472313035142
0.64,-6.19355773981166
0.68,-5.65590649621806
0.72,-5.25444169869913
0.76,-4.95587659399026
0.8,-4.73632937834977
0.84,-4.57835049349723
0.88,-4.46897011314674
0.92,-4.39838974036995
0.96,-4.35908780862252
1,-4.34519703950724
1.04,-4.35206475294351
1.08,-4.37593582650936
1.12,-4.41372324816588
1.16,-4.46283706506455
1.2,-4.52105713678845
1.24,-4.58643604223726
1.28,-4.65722593940531
1.32,-4.73181996589496
1.36,-4.80870815043812
1.4,-4.88644221020137
1.44,-4.96360742848064
1.48,-5.03880103862389
1.52,-5.11061578449341
1.56,-5.17762625082529
1.6,-5.23838045900594
1.64,-5.29139321892502
1.68,-5.3351428554447
1.72,-5.36807121648801
1.76,-5.38857484196484
1.8,-5.39505629834833
1.84,-5.38584995780918
1.88,-5.35929099381798
1.92,-5.31371773589751
1.96,-5.24747383902821
2,-5.15892749227603
2.04,-5.04648834156048
2.08,-4.90862527697419
2.12,-4.7438863834057
2.16,-4.55091866456696
2.2,-4.32848899304247
2.24,-4.0755055846386
2.28,-3.79103851921998
2.32,-3.47434048474517
2.36,-3.12486670008442
2.4,-2.74229269144302
2.44,-2.32653246224024
2.48,-1.87775311019406
2.52,-1.39638832447013
2.56,-0.883149837221496
2.6,-0.339036353003673
2.64,0.234659751700175
2.68,0.836348133938608
2.72,1.46413831816622
2.76,2.11583986138508
2.8,2.78896417527666
2.84,3.4807284178307
2.88,4.18806080187087
2.92,4.90760646726896
2.96,5.63573488812084
3,6.36854647222499
3.04,7.1018798803079
3.08,7.47248876937447
3.12,8.19309753005772
3.16,8.90148722210847
3.2,9.77799165150928
3.24,10.4491301074265
3.28,11.091912785544
3.32,11.7004105445138
3.36,12.2683757348162
3.4,12.7892011943958
3.44,13.2558639554597
3.48,13.6608502675767
3.52,13.9960570815862
3.56,14.2526648089864
3.6,14.4209745566948
3.64,14.4902025538001
3.68,14.4482238580477
3.72,14.2812562258652
3.76,13.9734829063375
3.8,13.506612884031
3.84,12.8594056521624
3.88,12.0072229093973
3.92,10.9217611335282
3.96,9.57130211278202
4,7.92220201921709
4.04,5.94314420583295
4.08,3.61539684622568
4.12,-1.24515586741766
4.16,-2.66063951235972
4.2,-5.36940804086191
4.24,-6.91085267809621
4.28,-5.06634453747846
4.32,5.42928763651297
4.36,37.0887102176786
4.4,120.509407413338
4.44,326.020933582584
4.48,800.081878626412
4.52,1656.34976760219
4.56,1982.46724786103
4.6,-529.2869083781
4.64,-2049.96253226837
4.68,-1213.62820357703
4.72,-548.96287066279
4.76,-265.42832115011
4.8,-142.801994736753
4.84,-84.3031705359435
4.88,-53.6789644704536
4.92,-36.354043064173
4.96,-25.9163047379112
5,-19.2998882262889
5.04,-14.9294767559973
5.08,-11.9445989336862
5.12,-9.85020076647315
5.16,-8.34856041844808
5.2,-7.25367190927881
5.24,-6.44541689954485
5.28,-5.84394770220205
5.32,-5.39481028411849
5.36,-5.0600127140054
5.4,-4.81249557919469
5.44,-4.63262138439447
5.48,-4.50588644591673
5.52,-4.42140136602095
5.56,-4.37085716120886
5.6,-4.34781227110044
5.64,-4.34719125399067
5.68,-4.36492589804918
5.72,-4.39769561971647
5.76,-4.44273694466989
5.8,-4.49770048451894
5.84,-4.56054124320236
5.88,-4.62944938206971
5.92,-4.70276480970895
5.96,-4.77894367697253
6,-4.85652215134142
6.04,-4.93407327553549
6.08,-5.01019214239909
6.12,-5.08347403610782
6.16,-5.15250222357741
6.2,-5.21583851532827
6.24,-5.27200418921487
6.28,-5.31949897959393
6.32,-5.35677570445073
6.36,-5.38225523764596
6.4,-5.39421069290424
6.44,-5.39133838265403
6.48,-5.37165225401154
6.52,-5.33358905224399
6.56,-5.27549035385415
6.6,-5.19571292126323
